product_id,product_name,category,subcategory,brand,base_price
prod_elec_001,iPhone 15 Pro Max,Electronics,Premium Electronics,Apple,1199.99
prod_elec_002,Samsung Galaxy S24 Ultra,Electronics,Premium Electronics,Samsung,1299.99
prod_elec_003,MacBook Pro 16 M3,Electronics,Premium Electronics,Apple,2499.00
prod_elec_004,Sony WH-1000XM5 Headphones,Electronics,Premium Electronics,Sony,398.00
prod_elec_005,iPad Air M1,Electronics,Premium Electronics,Apple,599.00
prod_elec_006,Dell XPS 13 Laptop,Electronics,Premium Electronics,Dell,999.00
prod_elec_007,Nintendo Switch OLED,Electronics,Premium Electronics,Nintendo,349.99
prod_elec_008,LG 55-Inch C3 OLED TV,Electronics,Premium Electronics,LG,1296.99
prod_elec_009,Apple Watch Series 9,Electronics,Premium Electronics,Apple,399.00
prod_elec_010,Bose SoundLink Revolve+,Electronics,Premium Electronics,Bose,229.00
prod_clot_001,Nike Air Max Sneakers,Clothing,Premium Clothing,Nike,150.00
prod_clot_002,Levi's 501 Original Fit Jeans,Clothing,Premium Clothing,Levi's,79.50
prod_clot_003,Adidas Originals Trefoil Hoodie,Clothing,Premium Clothing,Adidas,65.00
prod_clot_004,Patagonia Torrentshell Jacket,Clothing,Premium Clothing,Patagonia,149.00
prod_clot_005,Ray-Ban Classic Wayfarer,Clothing,Premium Clothing,Ray-Ban,163.00
prod_clot_006,Under Armour Tech Polo,Clothing,Premium Clothing,Under,39.99
prod_home_001,Instant Pot Duo Plus 9-in-1,Home & Kitchen,Premium Home & Kitchen,Instant,129.95
prod_home_002,KitchenAid Artisan Stand Mixer,Home & Kitchen,Premium Home & Kitchen,KitchenAid,449.99
prod_home_003,Dyson V15 Detect Vacuum,Home & Kitchen,Premium Home & Kitchen,Dyson,749.99
prod_home_004,Keurig K-Elite Coffee Maker,Home & Kitchen,Premium Home & Kitchen,Keurig,189.99
prod_home_005,Cuisinart 11-Piece Cookware Set,Home & Kitchen,Premium Home & Kitchen,Cuisinart,199.00
prod_home_006,Ring Video Doorbell Plus,Home & Kitchen,Premium Home & Kitchen,Ring,149.99
prod_book_001,Atomic Habits by James Clear,Books,Premium Books,Atomic,16.20
prod_book_002,Lessons in Chemistry,Books,Premium Books,Lessons,14.99
prod_book_003,The Creative Act by Rick Rubin,Books,Premium Books,The,21.00
prod_book_004,Designing Data-Intensive Applications,Books,Premium Books,Designing,44.99
prod_book_005,Clean Code by Robert C. Martin,Books,Premium Books,Clean,38.50
prod_spor_001,Lululemon 5mm Yoga Mat,Sports,Premium Sports,Lululemon,98.00
prod_spor_002,Bowflex SelectTech Dumbbells,Sports,Premium Sports,Bowflex,429.00
prod_spor_003,Hydro Flask 32 oz Wide Mouth,Sports,Premium Sports,Hydro,44.95
prod_spor_004,Fitbit Charge 6 Fitness Tracker,Sports,Premium Sports,Fitbit,159.95
prod_spor_005,Coleman Sundome 4-Person Tent,Sports,Premium Sports,Coleman,89.99
prod_beau_001,Estee Lauder Advanced Night Repair,Beauty,Premium Beauty,Estee,125.00
prod_beau_002,Olaplex No.3 Hair Perfector,Beauty,Premium Beauty,Olaplex,30.00
prod_beau_003,Dior Sauvage Eau de Parfum,Beauty,Premium Beauty,Dior,145.00
prod_beau_004,Laneige Lip Sleeping Mask,Beauty,Premium Beauty,Laneige,24.00
prod_beau_005,CeraVe Hydrating Facial Cleanser,Beauty,Premium Beauty,CeraVe,17.99
prod_toys_001,LEGO Icons Pac-Man Arcade,Toys,Premium Toys,LEGO,269.99
prod_toys_002,Catan Board Game (Base Game),Toys,Premium Toys,Catan,48.00
prod_toys_003,Barbie Dreamhouse Playset,Toys,Premium Toys,Barbie,199.99
prod_toys_004,Hasbro Monopoly Deal Card Game,Toys,Premium Toys,Hasbro,8.49
prod_toys_005,NERF Elite 2.0 Commander Blaster,Toys,Premium Toys,NERF,14.99
prod_groc_001,Lavazza Super Crema Espresso,Grocery,Premium Grocery,Lavazza,22.99
prod_groc_002,Quest Protein Bar 12-Pack,Grocery,Premium Grocery,Quest,28.50
prod_groc_003,Bragg Organic Apple Cider Vinegar,Grocery,Premium Grocery,Bragg,8.99
prod_groc_004,Matcha Kari Ceremony Matcha,Grocery,Premium Grocery,Matcha,39.00
prod_groc_005,Kind Bars Caramel & Sea Salt,Grocery,Premium Grocery,Kind,15.99
prod_auto_001,Vantrue N4 3-Channel Dash Cam,Automotive,Premium Automotive,Vantrue,259.99
prod_auto_002,NOCO Genius5 Battery Charger,Automotive,Premium Automotive,NOCO,69.95
prod_auto_003,Anker Car Phone Mount Charger,Automotive,Premium Automotive,Anker,49.99
prod_auto_004,Chemical Guys Car Wash Bucket Kit,Automotive,Premium Automotive,Chemical,59.99
prod_auto_005,Armor All Multi-Purpose Cleaner,Automotive,Premium Automotive,Armor,9.99
prod_heal_001,Optimum Nutrition Whey Gold Standard,Health,Premium Health,Optimum,79.99
prod_heal_002,Nature Made Vitamin D3 250ct,Health,Premium Health,Nature,15.49
prod_heal_003,Liquid I.V. Hydration Multiplier,Health,Premium Health,Liquid,24.99
prod_heal_004,SmartyPants Kids Daily Gummy Multivitamin,Health,Premium Health,SmartyPants,19.99
prod_heal_005,First Aid Only 299 Piece Kit,Health,Premium Health,First,22.50
